Tweets
#FarmersProtest2024
#FarmersProtest2024 old but funny.
#FarmersProtest2024 sarkar ka kehna hai ki kisano ko kheto ki kami mehsus na ho.
#FarmersProtest2024
#FarmersProtest2024
#FarmersProtest2024
#FarmersProtest2024 explain https://piped.video/FgslRt1H6b0?si=YGLfhdAn8YSiIg7e
#FarmersProtest2024 today's update
"Delhi Police Orders 30,000 Tear Gas Shells Ahead of #FarmersProtest2024 https://m.thewire.in/article/government/delhi-police-orders-30000-tear-gas-shells-ahead-of-farmers-protest-march-towards-the-capital"
Support Legal Journalism Support #LiveLaw Become a subscriber today!
Only 6 CT Scan Machines Available In 19 Delhi Govt Hospitals: High Court Constitutes Committee For Ramping Up Medical Infrastructure  reports @nupur_0111 https://www.livelaw.in/high-court/delhi-high-court/delhi-high-court-ct-scan-machines-government-hospitals-committee-medical-infrastructure-249926
"#FarmersProtest2024 : Punjab & Haryana HC to continue hearing today pleas against protest as well as against ""obstructive"" measures adopted by govt.  Follow for live updates https://www.livelaw.in/high-court/punjab-and-haryana-high-court/farmers-protest-punjab-haryana-high-court-meeting-with-government-msp-negotiation-state-to-file-affidavit-249583"
"The matter will be heard by Justice Subramonium Prasad.   The suspended members are Mohan Singh Bisht, Ajay Mahawar, OP Sharma, Abhay Verma, Anil Vajpayi, Jitender Mahajan, and Vijender Gupta.  #DelhiHighCourt"
Delhi High Court to hear pleas filed by 7 BJP MLAs challenging their suspension from the remainder of Budget session of the Delhi Assembly for allegedly interrupting Lieutenant Governor's address.  #DelhiHighCourt #BudgetSession
"“Acceptance of such patriarchal rule undermines human dignity, right to non-discrimination and fair treatment. Laws and regulations based on gender-based bias are constitutionally impermissible. Rules making marriage of women employees and their domestic involvement a ground for disentitlement would be unconstitutional.,” the Court recorded in its order."
Terminating Women Officer On Ground Of Marriage Is Arbitrary : Supreme Court Asks Union To Pay Rs 60 Lakh Compensation To Military Nurse | @khannagyanvi #SupremeCourtofIndia https://www.livelaw.in/supreme-court/terminating-women-officer-on-ground-of-marriage-is-arbitrary-supreme-court-asks-union-to-pay-rs-60-lakh-compensation-to-military-nurse-249924
Delhi High Court Allows Examination Of Two Witnesses In US Through Video Conferencing In Commercial Suit  reports @nupur_0111 https://www.livelaw.in/high-court/delhi-high-court/delhi-high-court-examination-witnesses-us-video-conferencing-commercial-suit-249922
"Educational Campuses Can't Be Converted Into Platforms To Propagate Party Politics, There Can't Be Any Compromise On Discipline: Delhi High Court ⁦@nupur_0111⁩  https://www.livelaw.in/high-court/delhi-high-court/delhi-high-court-educational-campuses-political-platforms-jawaharlal-nehru-university-249917"
"“All of us are criticized for the vacations we have. They all say, 'inko chutti bahut jyada milti h'. People don't understand that judges work all seven days of the week. Our district judges work every single day, even on Saturdays & Sundays they have to do legal aid camps or other administrative work,” Read more: t.ly/P6OjF"
"जिन किसानों को कभी MSP नहीं मिला वो कैसे तरक़्क़ी कर रहे हैं ? जो किसान बिना MSP वाली फसलें उगा रहे हैं, डेयरी या मछली पालन कर रहे हैं, क्या वो किसान नहीं ?"
How these shameless people disrespect in this way to the Prime Minister of India  These so called #farmers should be given good treatment by GoI who desrespect our Prime-Minister  #FarmersProtest2024 #KhalistaniTerrorists #FarmerProtestInDelhi #KisanAndolan2024 #NarendraModi
ये किसान हैं??  आंदोलनकारी खालिस्तानी भिंडरवाले की फोटो को शान से प्रस्तुत कर रहे हैं और देश के  प्रधान मंत्री मोदी जी का पुतला बनाकर उसे घसीट रहे हैं  सरकार को इन खालिस्तानियों का अब इलाज उसी तरह किया जाना चाहिए जैसे पहले हुआ था
Once upon a time @ArvindKejriwal 😂🤭😂🤭👇
"शराब, कबाब,शबाब, सब परोसा जा रहा है 😜 #आन- दो - लन  ,,,, मे   कुछ खालिस्तानी कि,,,सान बेचारे नमाज भी पढ़ रहे हैं  🔥"
शेख शाहजहां की गिरफ्तारी नहीं होने से महिलाएं डरी हुई हैं। आरोपी को अभी तक गिरफ्तार नहीं किया गया है।  #SandeshkaliHorror
Why did Manmohan Singh say MSP is inflationary   Congress: No answer  Why no APMC in Kerala ?  Congress : No Answer   Why did you not implement Swaminathan report since 2006?  Congress : No answer   Why did you reject Swaminathan recommendation in 2010?  Congress : No answer
"""She (Mamata Banerjee) should resign and come here without any post, only then she will understand the pain of the women here,"" says NCW Chairperson Rekha Sharma after visiting #Sandeshkhali #WestBengal"
"Wow, what a great news Now TATA Group's total Market cap is greater than #Pakistan economy  But still Pakistan is World's largest exporter of Donkeys  If Australia is called Kangaroo 🦘 Then why not Pakistan is called Donkey 🫏  #uppolicepaperleak #FarmerProtest2024 #ImranKhan"
"Pappu's playbook: 2009 - """"No caste politics,"""" 2023-24 - """"No SC, ST, OBC in Adani's Companies."""" Consistency level: Zero!"
"#प्रतापगढ़  कांग्रेस सांसद राहुल गांधी की भारत जोड़ो न्याय यात्रा का आज 37वां दिन है। राहुल गांधी की यात्रा यूपी के प्रतापगढ़ से होते हुए आज अमेठी पहुंचेंगी।अमेठी के बाबूगंज में कांग्रेस अध्यक्ष मल्लिकार्जुन खरगे और राहुल गांधी एक जनसभा को भी संबोधित करेंगे। अमेठी पहुंचने से पहले प्रतापगढ़ में यात्रा के दौरान राहुल ने प्रतापगढ़ से केंद्र सरकार पर निशाना साधा। उन्होंने दावा किया कि जब वे हाल ही में वाराणसी में काशी विश्वनाथ मंदिर में पहुंचे, तो पुलिसवालों ने सारे मोबाइल फोन रख लिए। उन्होंने कहा कि बीजेपी नहीं चाहती कि राहुल गांधी शिव मंदिर में अंदर दिखें। कांग्रेस सांसद ने यूपी सरकार पर हमला करते हुए कहा कि आज उत्तर प्रदेश का युवा अपने सपने पूरे करने के लिए दर-दर की ठोकरें खा रहा है। सुविधाओं के बिना हर रोज घंटों पढ़कर और मेहनत करने के बाद उन्हें क्या मिलता है? पेपरलीक। राहुल गांधी ने कहा कि हाल ही में लाखों युवाओं ने नौकरी पाने के लिए भर्ती परीक्षा दी और बाद में पता चला कि पेपर लीक हो गया। बीजेपी सरकार युवाओं के साथ अन्याय कर रही है। इन युवाओं के न्याय मिलना ही चाहिए और हम सब इस लड़ाई में उनके साथ हैं।  आज का 4PM अखबार पढ़ने के लिए इस लिंक पर क्लिक करें-: https://4pm.co.in/todays-newspaper-593/70589"
20 Feb 2024 ॥ Breaking News ॥ Top 10 Headlines . . @Editor_SanjayS  . . Link - https://piped.video/3rAgW9gmkKQ . . #UttarPradesh #RahulGandhi #farmersmovement #CMBhagwantMann
"मोदी की एक–एक गारंटी का हिसाब लेगी पब्लिक, मैच फिक्सिंग भी नहीं बचा पाएगी ॥ Election 2024 . . @Editor_SanjayS  . . Link - https://piped.video/mBFcuXkNdos . . #narendramodi #rahulgandhi #loksabhaelection2024 #akhileshyadav #bharatjodonyayyatra #congress #bjp #indiaalliance"
"शंभू बॉर्डर पर किसानों ने डाला डेरा, सरकार को झुकाने की पूरी तैयारी || Farmer Protest . . @Editor_SanjayS  Story - @KSHITIZKANT  . . Link - https://piped.video/6Iar2coOPZY . . #FarmerProtestInDelhi #FarmersProtest2024 #4pmnewsnetwork"
"राहुल का साथ देने निकल पड़ी युवाओं की फौज, मोदी भागे! Election 2024 . . @Editor_SanjayS   . . Link - https://piped.video/JaSYI-OWFxg . . #rahulgandhi #narendramodi #bharatjodonyayyatra #loksabhaelection2024"
"Bihar में Nitish Kumar के साथ कभी भी हो सकता है खेला, सियास तेज! . . @Editor_SanjayS  . . Link - https://piped.video/evVD0flqwWs . . #bihar #NitishKumar #4pmnewsnetwork"
बैठक से नाराज किसानों ने बताया 23 फसलों पर MSP से कम पर कोई समझौता नहीं | Farmers Protest . . @Editor_SanjayS  Story - @KSHITIZKANT  . . Link - https://piped.video/bwLR8Wv5txw . . #kisanandolan #msp #exclusivecoverage
19 Feb 2024 ॥ Breaking News ॥ Top 10 Headlines . . @Editor_SanjayS  . . Link - https://piped.video/kLAJZGbgbpA . . #MahuaMoitra #ED #SamajawariParty #KamalNath #BJP #DigarhMayorElection #SupremeCourt
"UP में सियासत में नया मोड़, Akhilesh yadav चलेंगे बड़ा दांव! Election 2024 . . @Editor_SanjayS  . . Link - https://piped.video/E2iqh6G-BIQ . . #rahulgandhi #akhileshyadav #swamiprasadmaurya #samajwadiparty #congress #narendramodi"
"Chandigarh Mayor Election में धांधली पर सख्त कार्रवाई, DY Chandrachud ने सुनाया फैसला! . . @Editor_SanjayS @NidhiTiwari2210  . . Link - https://piped.video/I8JZkegi8dA . . #ChandigarhMayorElection #chandrachud #4pmnewsnetwork"
